EPIC,Name,Sector
FOUR,4imprint Group plc,Media & Publishing
888,888 Holdings,Hotels & Entertainment Services
ASL,Aberforth Smaller Companies Trust,Collective Investments
AGK,Aggreko plc,Professional & Commercial Services
AAF,Airtel Africa plc,Telecommunications Services
AJB,AJ Bell Plc,Investment Banking & Investment Services
ATST,Alliance Trust plc,Collective Investments
APAX,Apax Global Alpha Limited,Collective Investments
ASCL,Ascential Plc,Professional & Commercial Services
ASHM,Ashmore Group plc,Investment Banking & Investment Services
AGR,Assura plc,Residential & Commercial REITs
AML,Aston Martin Lagonda,Automobiles & Auto Parts
AVST,Avast plc,Software & IT Services
AGT,AVI Global Trust plc,Collective Investments
BME,B&M European Value Retail SA,Diversified Retail
BAB,Babcock International Group,Construction & Engineering
BGFD,Baillie Gifford Japan Trust plc,Investment Banking & Investment Services
BAKK,Bakkavor Group Plc,Food & Tobacco
BBY,Balfour Beatty plc,Construction & Engineering
BGEO,Bank Of Georgia Group Plc,Banking Services
BNKR,Bankers Investment Trust plc,Collective Investments
BAG,Barr (A.G.),Beverages
BBA,BBA Aviation plc,Transport Infrastructure
BBGI,BBGI Sicav SA,Collective Investments
BEZ,Beazley plc,Insurance
BWY,Bellway plc,Homebuilding & Construction Supplies
BYG,Big Yellow Group,Residential & Commercial REITs
BCG,Baltic Classifieds Group,Communication Services
BRSC,BlackRock Smaller Companies Trust,Collective Investments
BCPT,BMO Commercial Property Trust Ltd,Collective Investments
BGSC,BMO Global Smaller Companies PLC,Collective Investments
BOY,Bodycote plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
BVS,Bovis Homes Group plc,Homebuilding & Construction Supplies
BRW,Brewin Dolphin Holdings plc,Investment Banking & Investment Services
BVIC,Britvic plc,Beverages
CNE,Cairn Energy plc,Oil & Gas
CLDN,Caledonia Investments plc,Collective Investments
CPI,Capita plc,Real Estate Operations
CAPC,Capital & Counties Properties plc,Professional & Commercial Services
CARD,Card Factory plc,Specialty Retailers
CEY,Centamin plc,Metals & Mining
CINE,Cineworld Group plc,Hotels & Entertainment Services
CTY,City Of London Investment Trust,Collective Investments
CKN,Clarkson plc,Freight & Logistics Services
CBG,Close Brothers Group plc,Banking Services
CLI,CLS Holdings plc,Real Estate Operations
COA,Coats Group plc,Textiles & Apparel
COB,Cobham plc,Aerospace & Defense
CCC,Computacenter plc,Software & IT Services
GLO,ContourGlobal plc,Electric Utilities & IPPs
CTEC,ConvaTec Group Plc,Healthcare Equipment & Supplies
CSP,Countryside Properties Plc,Homebuilding & Construction Supplies
CWK,Cranswick plc,Food & Tobacco
CRST,Crest Nicholson Holdings plc,Homebuilding & Construction Supplies
DJAN,Daejan Holdings plc,Real Estate Operations
DPH,Dechra Pharmaceuticals plc,Pharmaceuticals
DLN,Derwent London plc,Residential & Commercial REITs
DPLM,Diploma plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
DLG,Direct Line Insurance Group plc,Insurance
DC.,Dixons Carphone plc,Specialty Retailers
DOM,Domino's Pizza Group plc,Hotels & Entertainment Services
DRX,Drax Group plc,Electric Utilities & IPPs
DNLM,Dunelm Group Plc,Specialty Retailers
EZJ,easyJet plc,Passenger Transportation Services
EDIN,Edinburgh Investment Trust plc,Collective Investments
EIG,EI Group plc,Hotels & Entertainment Services
ECM,Electrocomponents plc,Electronic Equipment & Parts
ELM,Elementis plc,Chemicals
EDV,Endeavour Mining,Basic Materials
ENOG,Energean Oil & Gas,Oil & Gas
ETO,Entertainment One Ltd,Media & Publishing
EQN,Equiniti Group plc,Professional & Commercial Services
ESNT,Essentra Plc,Containers & Packaging
ERM,Euromoney Institutional Investors plc,Professional & Commercial Services
FCIT,F&C Investment Trust plc,Collective Investments
FDM,FDM Group plc,Software & IT Services
FXPO,Ferrexpo plc,Metals & Mining
FCSS,Fidelity China Special Situations PLC,Collective Investments
FEV,Fidelity European Values plc,Collective Investments
FSV,Fidelity Special Values,Collective Investments
FIN,Finablr plc,Professional & Commercial Services
FGT,Finsbury Growth & Income Trust plc,Collective Investments
FGP,FirstGroup plc,Passenger Transportation Services
FSFL,Foresight Solar Fund Ltd,Collective Investments
FUTR,Future plc,Media & Publishing
GFS,G4S Plc,Professional & Commercial Services
GFRD,Galliford Try Plc,Construction & Engineering
GAW,Games Workshop Group,Leisure Products
GCP,GCP Infrastructure Investments Ltd,Collective Investments
DIGS,GCP Student Living plc,Residential & Commercial REITs
GSS,Genesis Emerging Markets Fund Ltd,Collective Investments
GNS,Genus plc,Biotechnology & Medical Research
GOG,Go Ahead Group,Passenger Transportation Services
GFTU,Grafton Group,Specialty Retailers
GRI,Grainger Plc,Real Estate Operations
GPOR,Great Portland Estates,Residential & Commercial REITs
UKW,Greencoat UK Wind plc,Collective Investments
GNC,Greencore Group plc,Food & Tobacco
GRG,Greggs Plc,Hotels & Entertainment Services
GVC,GVC Holdings plc,Hotels & Entertainment Services
HMSO,Hammerson,Residential & Commercial REITs
HVPE,Harbourvest Global Private Equity,Investment Banking & Investment Services
HSTG,Hastings Group Holdings plc,Insurance
HAS,Hays plc,Professional & Commercial Services
HSL,Henderson Smaller Cos Investment Trust plc,Collective Investments
HRI,Herald Investment Trust,Collective Investments
HGT,HG Capital Trust plc,Collective Investments
HICL,HICL Infrastructure plc,Collective Investments
HILS,Hill & Smith Holdings plc.,Metals & Mining
HFG,Hilton Food Group Plc,Food & Tobacco
HOC,Hochschild Mining Plc,Metals & Mining
HSV,Homeserve plc,Personal & Household Products & Services
HWDN,Howden Joinery Group Plc,Household Goods
HTG,Hunting plc,Oil & Gas Related Equipment and Services
IBST,Ibstock plc,Construction Materials
ICGT,ICG Enterprise Trust plc,Collective Investments
IGG,IG Group Holdings Plc,Investment Banking & Investment Services
IMI,IMI plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
INCH,Inchcape plc,Specialty Retailers
ISAT,Inmarsat Plc,Telecommunications Services
IHP,Integrafin Holdings Plc,Investment Banking & Investment Services
ICP,Intermediate Capital Group plc,Investment Banking & Investment Services
INPP,International Public Partnerships Limited,Collective Investments
INVP,Investec Plc,Investment Banking & Investment Services
IPO,IP Group Plc,Investment Banking & Investment Services
IWG,IWG plc,Professional & Commercial Services
JDW,J D Wetherspoon plc,Hotels & Entertainment Services
FSJ,James Fisher & Sons plc,Freight & Logistics Services
JLG,John Laing Group plc,Construction & Engineering
JAM,JPMorgan American Investment Trust plc,Collective Investments
JMG,JPMorgan Emerging Markets IT plc,Collective Investments
JII,JPMorgan Indian Investment Trust,Collective Investments
JFJ,JPMorgan Japanese Investment Trust,Collective Investments
JEO,Jupiter European Opportunities Trust,Collective Investments
JUP,Jupiter Fund Management PLC,Investment Banking & Investment Services
JE.,Just Eat plc,Software & IT Services
KNOS,Kainos Group plc,Software & IT Services
KAZ,KAZ Minerals plc,Metals & Mining
LRE,Lancashire Holdings,Insurance
LWDB,Law Debenture Corporation,Banking Services
LMP,LondonMetric Property plc,Residential & Commercial REITs
